inning,inning_topbot,outs_when_up,1b,2b,3b,current_re24,situation_occurrences,eligible_games,higher_re_occurs_count,higher_re_occurs_pct
1,Top,0,False,False,False,0.49432005064898776,7289,7289,7288,0.999862806969406
1,Top,0,True,False,False,0.8878149539389397,1741,7289,7183,0.9854575387570311
1,Top,0,False,True,False,1.109643815436418,383,7289,6552,0.8988887364521883
1,Top,0,False,False,True,1.3858590733590734,47,7289,5828,0.799560982302099
1,Top,0,True,True,False,1.47952434803468,409,7289,4653,0.6383591713540953
1,Top,0,True,False,True,1.8029265255292648,139,7289,2410,0.33063520373165045
1,Top,0,False,True,True,1.918237170194259,85,7289,1467,0.20126217588146522
1,Top,0,True,True,True,2.268160644592723,94,7289,0,0.0
1,Top,1,False,False,False,0.2639268201849667,5369,7289,7289,1.0
1,Top,1,True,False,False,0.5240708686902802,2151,7289,7287,0.9997256139388119
1,Top,1,False,True,False,0.6679592825981581,636,7289,7285,0.9994512278776239
1,Top,1,False,False,True,0.9123045547246772,182,7289,7149,0.9807929757168335
1,Top,1,True,True,False,0.9302515931635259,691,7289,6917,0.948964192619015
1,Top,1,True,False,True,1.1652308995904532,316,7289,6180,0.8478529290712031
1,Top,1,False,True,True,1.3486698911729142,157,7289,5956,0.817121690218137
1,Top,1,True,True,True,1.5565524426950683,200,7289,3442,0.4722184113047057
1,Top,2,False,False,False,0.1001532004737628,4333,7289,7289,1.0
1,Top,2,True,False,False,0.2213896929490464,2251,7289,7289,1.0
1,Top,2,False,True,False,0.3072789447972643,787,7289,7289,1.0
1,Top,2,False,False,True,0.3336989761999734,356,7289,7289,1.0
1,Top,2,True,True,False,0.4312991506763133,891,7289,7289,1.0
1,Top,2,True,False,True,0.4695498381553041,404,7289,7289,1.0
1,Top,2,False,True,True,0.5347255949490044,229,7289,7287,0.9997256139388119
1,Top,2,True,True,True,0.7707733891359316,237,7289,7282,0.9990396487858417
1,Bot,0,False,False,False,0.49432005064898776,7289,7289,7288,0.999862806969406
1,Bot,0,True,False,False,0.8878149539389397,1987,7289,7148,0.9806557826862395
1,Bot,0,False,True,False,1.109643815436418,447,7289,6431,0.8822883797503087
1,Bot,0,False,False,True,1.3858590733590734,64,7289,5673,0.7782960625600219
1,Bot,0,True,True,False,1.47952434803468,499,7289,4480,0.6146247770613252
1,Bot,0,True,False,True,1.8029265255292648,166,7289,2274,0.3119769515708602
1,Bot,0,False,True,True,1.918237170194259,116,7289,1373,0.1883660310056249
1,Bot,0,True,True,True,2.268160644592723,118,7289,0,0.0
1,Bot,1,False,False,False,0.2639268201849667,5115,7289,7289,1.0
1,Bot,1,True,False,False,0.5240708686902802,2291,7289,7285,0.9994512278776239
1,Bot,1,False,True,False,0.6679592825981581,688,7289,7281,0.9989024557552476
1,Bot,1,False,False,True,0.9123045547246772,237,7289,7104,0.9746192893401016
1,Bot,1,True,True,False,0.9302515931635259,778,7289,6824,0.9362052407737687
1,Bot,1,True,False,True,1.1652308995904532,329,7289,6033,0.8276855535738784
1,Bot,1,False,True,True,1.3486698911729142,210,7289,5795,0.7950336122924956
1,Bot,1,True,True,True,1.5565524426950683,200,7289,3263,0.44766085882837153
1,Bot,2,False,False,False,0.1001532004737628,4105,7289,7289,1.0
1,Bot,2,True,False,False,0.2213896929490464,2286,7289,7289,1.0
1,Bot,2,False,True,False,0.3072789447972643,939,7289,7289,1.0
1,Bot,2,False,False,True,0.3336989761999734,390,7289,7289,1.0
1,Bot,2,True,True,False,0.4312991506763133,904,7289,7289,1.0
1,Bot,2,True,False,True,0.4695498381553041,436,7289,7289,1.0
1,Bot,2,False,True,True,0.5347255949490044,243,7289,7285,0.9994512278776239
1,Bot,2,True,True,True,0.7707733891359316,280,7289,7278,0.9984908766634655
2,Top,0,False,False,False,0.49432005064898776,7289,7289,7288,0.999862806969406
2,Top,0,True,False,False,0.8878149539389397,1708,7289,7111,0.9755796405542598
2,Top,0,False,True,False,1.109643815436418,358,7289,6318,0.8667855672931815
2,Top,0,False,False,True,1.3858590733590734,42,7289,5531,0.7588146522156675
2,Top,0,True,True,False,1.47952434803468,374,7289,4302,0.5902044176155852
2,Top,0,True,False,True,1.8029265255292648,114,7289,2154,0.2955137878995747
2,Top,0,False,True,True,1.918237170194259,78,7289,1297,0.17793936068047744
2,Top,0,True,True,True,2.268160644592723,95,7289,0,0.0
2,Top,1,False,False,False,0.2639268201849667,5376,7289,7289,1.0
2,Top,1,True,False,False,0.5240708686902802,2128,7289,7283,0.9991768418164357
2,Top,1,False,True,False,0.6679592825981581,620,7289,7276,0.9982164906022774
2,Top,1,False,False,True,0.9123045547246772,182,7289,7065,0.9692687611469337
2,Top,1,True,True,False,0.9302515931635259,688,7289,6744,0.9252297983262451
2,Top,1,True,False,True,1.1652308995904532,311,7289,5907,0.8103992317190287
2,Top,1,False,True,True,1.3486698911729142,175,7289,5659,0.7763753601317053
2,Top,1,True,True,True,1.5565524426950683,181,7289,3123,0.4284538345452051
2,Top,2,False,False,False,0.1001532004737628,4317,7289,7289,1.0
2,Top,2,True,False,False,0.2213896929490464,2126,7289,7289,1.0
2,Top,2,False,True,False,0.3072789447972643,839,7289,7289,1.0
2,Top,2,False,False,True,0.3336989761999734,381,7289,7289,1.0
2,Top,2,True,True,False,0.4312991506763133,807,7289,7289,1.0
2,Top,2,True,False,True,0.4695498381553041,417,7289,7289,1.0
2,Top,2,False,True,True,0.5347255949490044,184,7289,7283,0.9991768418164357
2,Top,2,True,True,True,0.7707733891359316,240,7289,7273,0.9978049115104952
2,Bot,0,False,False,False,0.49432005064898776,7289,7289,7288,0.999862806969406
2,Bot,0,True,False,False,0.8878149539389397,1826,7289,7063,0.9689943750857456
2,Bot,0,False,True,False,1.109643815436418,413,7289,6178,0.8475785430100151
2,Bot,0,False,False,True,1.3858590733590734,47,7289,5355,0.7346686788311154
2,Bot,0,True,True,False,1.47952434803468,401,7289,4125,0.565921251200439
2,Bot,0,True,False,True,1.8029265255292648,142,7289,2018,0.27685553573878446
2,Bot,0,False,True,True,1.918237170194259,117,7289,1221,0.16751269035532995
2,Bot,0,True,True,True,2.268160644592723,93,7289,0,0.0
2,Bot,1,False,False,False,0.2639268201849667,5241,7289,7289,1.0
