inning,inning_topbot,outs_when_up,1b,2b,3b,situations_after_count,higher_re_after_count,higher_re_after_pct
1,Top,0,False,False,False,563669,154446,0.274001231219031
1,Top,0,True,False,False,130774,14199,0.10857662838178843
1,Top,0,False,True,False,30118,1789,0.05939969453482967
1,Top,0,False,False,True,3530,133,0.03767705382436261
1,Top,0,True,True,False,32629,901,0.027613472677679364
1,Top,0,True,False,True,11135,112,0.010058374494836103
1,Top,0,False,True,True,6639,27,0.004066877541798464
1,Top,0,True,True,True,7923,0,0.0
1,Top,1,False,False,False,406818,243995,0.5997645138612352
1,Top,1,True,False,False,158970,32462,0.2042020507013902
1,Top,1,False,True,False,48426,8298,0.1713542311981167
1,Top,1,False,False,True,13351,1294,0.09692157890794698
1,Top,1,True,True,False,52774,3706,0.07022397392655474
1,Top,1,True,False,True,24802,1106,0.04459317796951859
1,Top,1,False,True,True,11766,459,0.039010708822029574
1,Top,1,True,True,True,17181,184,0.0107095046854083
1,Top,2,False,False,False,320723,275126,0.8578305890129488
1,Top,2,True,False,False,163603,128539,0.7856763017793073
1,Top,2,False,True,False,60335,34851,0.5776249274881909
1,Top,2,False,False,True,25656,14620,0.5698472092298098
1,Top,2,True,True,False,66703,35724,0.5355681153771195
1,Top,2,True,False,True,29593,15291,0.5167100327780219
1,Top,2,False,True,True,16608,3212,0.19340077071290945
1,Top,2,True,True,True,19026,2897,0.15226532113949331
1,Bot,0,False,False,False,535913,147695,0.27559510592204334
1,Bot,0,True,False,False,140409,15431,0.10990036251237456
1,Bot,0,False,True,False,33307,2116,0.06353018884919086
1,Bot,0,False,False,True,4368,139,0.03182234432234432
1,Bot,0,True,True,False,36660,1035,0.02823240589198036
1,Bot,0,True,False,True,12153,133,0.010943799884802107
1,Bot,0,False,True,True,8149,52,0.006381151061479936
1,Bot,0,True,True,True,9970,0,0.0
1,Bot,1,False,False,False,368497,220220,0.5976168055642244
1,Bot,1,True,False,False,158783,32254,0.20313257716506175
1,Bot,1,False,True,False,50210,8418,0.16765584544911372
1,Bot,1,False,False,True,16146,1564,0.09686609686609686
1,Bot,1,True,True,False,57019,3895,0.06831056314561813
1,Bot,1,True,False,True,23493,1018,0.04333205635721279
1,Bot,1,False,True,True,14399,574,0.03986387943607195
1,Bot,1,True,True,True,14908,173,0.011604507646900993
1,Bot,2,False,False,False,287774,246619,0.8569884701189128
1,Bot,2,True,False,False,155736,122334,0.7855216520265064
1,Bot,2,False,True,False,65537,37743,0.5759036879930421
1,Bot,2,False,False,True,26039,14679,0.5637313260877914
1,Bot,2,True,True,False,63722,34182,0.5364238410596026
1,Bot,2,True,False,True,30716,15870,0.5166688370881625
1,Bot,2,False,True,True,16244,3161,0.19459492735779366
1,Bot,2,True,True,True,20745,3214,0.1549288985297662
2,Top,0,False,False,False,497571,136613,0.27455981156458076
2,Top,0,True,False,False,113538,12486,0.10997199175606405
2,Top,0,False,True,False,24860,1520,0.061142397425583264
2,Top,0,False,False,True,2770,103,0.037184115523465705
2,Top,0,True,True,False,26387,775,0.029370523363777618
2,Top,0,True,False,True,8107,82,0.0101147156778093
2,Top,0,False,True,True,5214,25,0.004794783275795934
2,Top,0,True,True,True,7493,0,0.0
2,Top,1,False,False,False,355956,212861,0.5979980671768421
2,Top,1,True,False,False,138064,27841,0.20165285664619306
2,Top,1,False,True,False,42393,7134,0.168282499469252
2,Top,1,False,False,True,11807,1143,0.09680697891081562
2,Top,1,True,True,False,46640,3277,0.07026157804459691
2,Top,1,True,False,True,21360,934,0.043726591760299624
2,Top,1,False,True,True,11669,459,0.03933499014482818
2,Top,1,True,True,True,14329,147,0.010258915486077186
2,Top,2,False,False,False,280713,240629,0.8572064706657689
2,Top,2,True,False,False,136083,106905,0.7855867375057869
2,Top,2,False,True,False,56010,32250,0.5757900374933048
2,Top,2,False,False,True,24116,13784,0.571570741416487
2,Top,2,True,True,False,53971,28819,0.5339719478979452
2,Top,2,True,False,True,27858,14358,0.5153995261684255
2,Top,2,False,True,True,11630,2285,0.19647463456577816
2,Top,2,True,True,True,17233,2752,0.15969361109499217
2,Bot,0,False,False,False,464946,128030,0.2753653112404451
2,Bot,0,True,False,False,112289,12398,0.11041152739805324
2,Bot,0,False,True,False,26259,1616,0.061540805057313686
2,Bot,0,False,False,True,2869,88,0.03067270826071802
2,Bot,0,True,True,False,25018,690,0.027580142297545768
2,Bot,0,True,False,True,8921,81,0.009079699585248291
2,Bot,0,False,True,True,7102,32,0.004505773021684032
2,Bot,0,True,True,True,6157,0,0.0
2,Bot,1,False,False,False,323465,193467,0.5981079869537662
2,Bot,1,True,False,False,130986,26561,0.20277739605759393
2,Bot,1,False,True,False,41601,7043,0.16929881493233337
2,Bot,1,False,False,True,13883,1313,0.094576100266513
2,Bot,1,True,True,False,41859,3023,0.07221863876346783
2,Bot,1,True,False,True,19626,872,0.04443085702639356
2,Bot,1,False,True,True,13946,478,0.034275060949376164
2,Bot,1,True,True,True,13502,151,0.011183528366167974
2,Bot,2,False,False,False,255842,219574,0.8582406328906121
2,Bot,2,True,False,False,135156,106299,0.786491165764006
2,Bot,2,False,True,False,54003,30792,0.5701905449697239
2,Bot,2,False,False,True,23646,13313,0.5630127717161465
2,Bot,2,True,True,False,51972,27927,0.5373470330177788
2,Bot,2,True,False,True,27535,14422,0.5237697475939713
2,Bot,2,False,True,True,13705,2678,0.1954031375410434
2,Bot,2,True,True,True,18099,2968,0.1639869606055583
3,Top,0,False,False,False,433230,119541,0.2759296447614431
3,Top,0,True,False,False,97982,10967,0.11192872160192688
3,Top,0,False,True,False,24328,1575,0.06474021703387044
3,Top,0,False,False,True,3620,149,0.04116022099447514
3,Top,0,True,True,False,22568,655,0.02902339595887983
3,Top,0,True,False,True,7997,90,0.011254220332624734
3,Top,0,False,True,True,4707,28,0.005948587210537497
3,Top,0,True,True,True,4812,0,0.0
3,Top,1,False,False,False,312151,186581,0.5977267412245997
3,Top,1,True,False,False,119918,24514,0.20442302239863908
3,Top,1,False,True,False,40596,7092,0.17469701448418565
3,Top,1,False,False,True,12932,1169,0.09039591710485617
3,Top,1,True,True,False,40729,2902,0.07125144246114562
3,Top,1,True,False,True,16402,757,0.046152908181929034
3,Top,1,False,True,True,9796,376,0.038383013474887706
3,Top,1,True,True,True,11927,148,0.01240882032363545
3,Top,2,False,False,False,246706,211787,0.8584590565288238
3,Top,2,True,False,False,123533,97144,0.7863809670290529
3,Top,2,False,True,False,50414,29082,0.5768635696433531
3,Top,2,False,False,True,22067,12497,0.5663207504418363
3,Top,2,True,True,False,48219,25870,0.536510504158112
3,Top,2,True,False,True,24546,12826,0.522529128982319
3,Top,2,False,True,True,11744,2159,0.18383855585831063
3,Top,2,True,True,True,16057,2496,0.15544622283116397
3,Bot,0,False,False,False,401191,111481,0.27787512680992343
3,Bot,0,True,False,False,93362,10483,0.11228337010775262
3,Bot,0,False,True,False,23381,1474,0.06304264146101536
3,Bot,0,False,False,True,2592,114,0.04398148148148148
3,Bot,0,True,True,False,22611,664,0.02936623767192959
3,Bot,0,True,False,True,8184,102,0.012463343108504398
3,Bot,0,False,True,True,4878,21,0.004305043050430504
3,Bot,0,True,True,True,6818,0,0.0
3,Bot,1,False,False,False,287133,172320,0.6001400048061352
3,Bot,1,True,False,False,113472,22871,0.20155633107727017
3,Bot,1,False,True,False,36826,6293,0.1708847010264487
3,Bot,1,False,False,True,11950,1137,0.09514644351464435
